1	platea, plateae	f	(wide) street	23
3	plenitudo, plenitudinis	f	fullness	29
1	poena, poenae	f	pain, punishment, penalty	33
3	pondus, ponderis	n	burden, impediment	28
2	Pontius Pilatus, Pontii Pilati	m	Pontius Pilatus, Pilate	27
2	populus, populi	m	people	2
1	potentia, potentiae	f	power	2
3	potestas, potestatis	f	power, authority	20
4	potus, potus	m	drink	6
2	praeceptum, praecepti	n	lesson, precept; command	3
2	praeconium, praeconii	n	praise, proclamation	33
3	praefatio, praefationis	f	preface	28
2	praemium, praemii	n	reward	3
3	praeses, praesidis	mf	president, governor, procurator	31
1	presbyter, presbyteri	m	elder	31
2	pretium, pretii	n	price; ransom	27
3	prex, precis	f	entreaty, prayer	19
3	princeps, principis	m	chief, prince	14
2	principium, principii	n	beginning	5
1	propheta, prophetae	m	prophet	11
2	propositum, propositi	n	decree, purpose, plan	23
3	protectio, protectionis	f	protection	28
1	psalmista, psalmistae	m	psalmist	29
2	psalmus, psalmi	m	psalm	2
1	puella, puellae	f	girl	35
1	puer, pueri	m	boy, child; servant	2
3	purgatio, purgationis	f	purification	33
3	quies, quietis	f	peace, rest, quiet	28
2	radius, radii	m	ray	34
3	ratio, rationis	f	reckoning, account; plan, rule, way; reason, reasoning	32
3	reconciliatio, reconciliationis	f	restoration, reconciliation	33
3	redemptio, redemptionis	f	deliverance, redemption	31
3	redemptor, redemptoris	m	one who buys back; redeemer	14
1	regina, reginae	f	queen	3
3	regio, regionis	f	country, region	32
2	regnum, regni	n	kingdom, rule	3
3	remissio, remissionis	f	forgiveness, remission	17
5	requies, requiei	f	rest	32
5	res, rei	f	thing	19
2	responsum, responsi	n	answer, response	7
3	resurrectio, resurrectionis	f	rising again, resurrection	15
3	rex, regis	m	king	14
4	ritus, ritus	m	ceremony, rite	16
1	Roma, Romae	f	Rome	17
1	ruina, ruinae	f	fall, destruction	35
2	sabbatum, sabbati	n	Sabbath	3
3	sacerdos, sacerdotis	m	priest	14
2	sacramentum, sacramenti	n	sacrament	4
2	sacrificium, sacrificii	n	sacrifice	3
2	saeculum, saeculi	n	age, world	3
3	salus, salutis	f	safety, health, salvation	15
3	salvator, salvatoris	m	savior	17
3	sanctificatio, sanctificationis	f	holiness, holy mystery	29
